Date,Open,High,Low,Close,Adj Close,Volume
3/20/2018,494.649994,494.649994,478.100006,482.600006,477.086975,343408
3/21/2018,488,517.900024,485,502.5,496.759644,1140729
3/22/2018,496.600006,510.5,485,487.549988,481.980438,486178
3/23/2018,478,481,467,468.649994,463.296356,398449
3/26/2018,471.399994,484.649994,470.350006,476.899994,471.452087,427146
3/27/2018,481,495,481,489.149994,483.562164,182726
3/28/2018,487.899994,515,482.600006,510.25,504.421112,773932
4/2/2018,512.549988,516.700012,495.100006,501.299988,495.573364,466974
4/3/2018,501.700012,516,500,510.899994,505.06369,259910
4/4/2018,520,520,490.350006,496.049988,490.383331,316409
4/5/2018,504.450012,512,496,498.899994,493.200775,200163
4/6/2018,502.399994,510,500.100006,505.399994,499.626526,237099
4/9/2018,512,514,500.549988,502.600006,496.858551,121553
4/10/2018,509.100006,538.799988,505,532.75,526.664063,1032415
4/11/2018,530.099976,532.75,513,516.799988,510.896271,281732
4/12/2018,519.299988,519.299988,502.100006,503.649994,497.896515,237525
4/13/2018,507,515,502.200012,508.149994,502.345123,171852
4/16/2018,505,516,505,514,508.128296,132924
4/17/2018,516,526,507.049988,513.049988,507.189117,286622
4/18/2018,516,521.900024,508.5,513,507.13974,213189
4/19/2018,514,524.400024,514,516.900024,510.995209,633525
4/20/2018,516,529.299988,512,521.25,515.295471,542235
4/23/2018,525.900024,592,525.900024,577.150024,570.556946,2314914
4/24/2018,594.150024,610,560.5,567.049988,560.572266,1780471
4/25/2018,569,592.799988,557,569.200012,562.697693,1048556
4/26/2018,573.5,579.549988,543,550.75,544.458496,657378
4/27/2018,552,560.700012,540.299988,546.299988,540.059326,245555
4/30/2018,550.450012,572.599976,543.950012,549.5,543.222778,689827
5/2/2018,552.700012,561,534.400024,541.5,535.314148,964679
5/3/2018,543.700012,545.599976,514.5,520.299988,514.356323,271526
5/4/2018,519.5,529.5,509,514.5,508.622559,371217
5/7/2018,517.049988,527.5,515.099976,518.25,512.329712,331001
5/8/2018,520.799988,522.799988,511.549988,516.650024,510.748047,356431
5/9/2018,516.400024,543.599976,513.099976,537.650024,531.508179,693898
5/10/2018,536.950012,542.400024,526,534.549988,528.443542,618803
5/11/2018,536.799988,536.799988,526,529.400024,523.352356,96393
5/14/2018,529.900024,567.5,525.75,555.849976,549.500183,719479
5/15/2018,555,575,526.549988,531.400024,525.329529,290912
5/16/2018,535.400024,549.900024,525.25,530.849976,524.785767,168758
5/17/2018,534.849976,538.900024,524.950012,526.900024,520.880981,81132
